"","ID","image_id","FileName_original.x","Experiment","Platform","Handling","Aspiration","Dispension","Well","Day","ImageNumber","AreaShape_Area","AreaShape_BoundingBoxArea","AreaShape_BoundingBoxMaximum_X","AreaShape_BoundingBoxMaximum_Y","AreaShape_BoundingBoxMinimum_X","AreaShape_BoundingBoxMinimum_Y","AreaShape_Center_X","AreaShape_Center_Y","AreaShape_Compactness","AreaShape_ConvexArea","AreaShape_Eccentricity","AreaShape_EquivalentDiameter","AreaShape_EulerNumber","AreaShape_Extent","AreaShape_FormFactor","AreaShape_MajorAxisLength","AreaShape_MaxFeretDiameter","AreaShape_MaximumRadius","AreaShape_MeanRadius","AreaShape_MedianRadius","AreaShape_MinFeretDiameter","AreaShape_MinorAxisLength","AreaShape_Orientation","AreaShape_Perimeter","AreaShape_Solidity","Intensity_IntegratedIntensityEdge_original_gray","Intensity_IntegratedIntensity_original_gray","Intensity_LowerQuartileIntensity_original_gray","Intensity_MADIntensity_original_gray","Intensity_MassDisplacement_original_gray","Intensity_MaxIntensityEdge_original_gray","Intensity_MaxIntensity_original_gray","Intensity_MeanIntensityEdge_original_gray","Intensity_MeanIntensity_original_gray","Intensity_MedianIntensity_original_gray","Intensity_MinIntensityEdge_original_gray","Intensity_MinIntensity_original_gray","Intensity_StdIntensityEdge_original_gray","Intensity_StdIntensity_original_gray","Intensity_UpperQuartileIntensity_original_gray","Location_CenterMassIntensity_X_original_gray","Location_CenterMassIntensity_Y_original_gray","Location_CenterMassIntensity_Z_original_gray","Location_Center_X","Location_Center_Y","Location_Center_Z","Location_MaxIntensity_X_original_gray","Location_MaxIntensity_Y_original_gray","Location_MaxIntensity_Z_original_gray","Number_Object_Number","Parent_spheroids","RadialDistribution_FracAtD_original_gray_1of4","RadialDistribution_FracAtD_original_gray_2of4","RadialDistribution_FracAtD_original_gray_3of4","RadialDistribution_FracAtD_original_gray_4of4","RadialDistribution_MeanFrac_original_gray_1of4","RadialDistribution_MeanFrac_original_gray_2of4","RadialDistribution_MeanFrac_original_gray_3of4","RadialDistribution_MeanFrac_original_gray_4of4","RadialDistribution_RadialCV_original_gray_1of4","RadialDistribution_RadialCV_original_gray_2of4","RadialDistribution_RadialCV_original_gray_3of4","RadialDistribution_RadialCV_original_gray_4of4","Texture_AngularSecondMoment_original_gray_3_00_256","Texture_AngularSecondMoment_original_gray_3_01_256","Texture_AngularSecondMoment_original_gray_3_02_256","Texture_AngularSecondMoment_original_gray_3_03_256","Texture_Contrast_original_gray_3_00_256","Texture_Contrast_original_gray_3_01_256","Texture_Contrast_original_gray_3_02_256","Texture_Contrast_original_gray_3_03_256","Texture_Correlation_original_gray_3_00_256","Texture_Correlation_original_gray_3_01_256","Texture_Correlation_original_gray_3_02_256","Texture_Correlation_original_gray_3_03_256","Texture_DifferenceEntropy_original_gray_3_00_256","Texture_DifferenceEntropy_original_gray_3_01_256","Texture_DifferenceEntropy_original_gray_3_02_256","Texture_DifferenceEntropy_original_gray_3_03_256","Texture_DifferenceVariance_original_gray_3_00_256","Texture_DifferenceVariance_original_gray_3_01_256","Texture_DifferenceVariance_original_gray_3_02_256","Texture_DifferenceVariance_original_gray_3_03_256","Texture_Entropy_original_gray_3_00_256","Texture_Entropy_original_gray_3_01_256","Texture_Entropy_original_gray_3_02_256","Texture_Entropy_original_gray_3_03_256","Texture_InfoMeas1_original_gray_3_00_256","Texture_InfoMeas1_original_gray_3_01_256","Texture_InfoMeas1_original_gray_3_02_256","Texture_InfoMeas1_original_gray_3_03_256","Texture_InfoMeas2_original_gray_3_00_256","Texture_InfoMeas2_original_gray_3_01_256","Texture_InfoMeas2_original_gray_3_02_256","Texture_InfoMeas2_original_gray_3_03_256","Texture_InverseDifferenceMoment_original_gray_3_00_256","Texture_InverseDifferenceMoment_original_gray_3_01_256","Texture_InverseDifferenceMoment_original_gray_3_02_256","Texture_InverseDifferenceMoment_original_gray_3_03_256","Texture_SumAverage_original_gray_3_00_256","Texture_SumAverage_original_gray_3_01_256","Texture_SumAverage_original_gray_3_02_256","Texture_SumAverage_original_gray_3_03_256","Texture_SumEntropy_original_gray_3_00_256","Texture_SumEntropy_original_gray_3_01_256","Texture_SumEntropy_original_gray_3_02_256","Texture_SumEntropy_original_gray_3_03_256","Texture_SumVariance_original_gray_3_00_256","Texture_SumVariance_original_gray_3_01_256","Texture_SumVariance_original_gray_3_02_256","Texture_SumVariance_original_gray_3_03_256","Texture_Variance_original_gray_3_00_256","Texture_Variance_original_gray_3_01_256","Texture_Variance_original_gray_3_02_256","Texture_Variance_original_gray_3_03_256","uwell","Projected_volume_mm3","microwells","spheroids","inwell_perc","outwell_perc","Row","Column"
"1",1,"1","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D21/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D21",1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,"B","4"
"2",2,"2","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D21/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D21",1,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,430,583,583,583,583,583,"B","4"
"3",3,"3","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D21/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D21",1,17242.5140827547,368.689536878216,893.596912521441,624.646655231561,874.567753001715,605.756432246998,883.669367404267,614.683082635362,1.13432708618962,305.243567753002,0.449544142737138,146.420262335967,1,0.785869356899043,0.892367690130725,20.3821960927772,20.8776229229346,8.35502114418567,3.29795873794556,2.96358138174651,16.7631614435887,17.8150296246858,1.42324857391233,63.1156953314759,0.938314652768531,34.7036209831056,160.462071987051,0.519015684953889,0.0452760995891246,0.280300142371352,0.725717005762391,0.726203558426574,0.624384367658398,0.568363836526305,0.561967069989208,0.525398305564556,0.440566467635627,0.0547033329364212,0.0616438031593122,0.61291593319607,883.857841486623,614.683435675237,0,883.669367404267,614.683082635362,0,886.571183533448,614.171526586621,0,292,312.295025728988,0.0460399061492281,0.168706502343053,0.325249369176672,0.460004220137221,0.869258361051492,0.912161765757624,0.981892139053385,1.06880086364216,0.0272491246298499,0.0370488944539263,0.0519428256588199,0.0744197459819148,0.00330312355868534,0.00359543730391048,0.00337518200895444,0.00362352564666044,203.899539102142,335.089418610428,196.648328713462,326.361519183067,0.5314231688442,0.235675586268617,0.545556490465056,0.262271887086521,4.6900049343143,4.95158504082658,4.62905712754843,4.92665112429684,0.000231702553457243,0.00018388103092266,0.00024933080022253,0.00019057434469718,8.44177216084501,8.30755008711588,8.41673208838258,8.30063769292306,-0.479810926051248,-0.496983515951798,-0.484947310345726,-0.497133162585123,0.996751001833554,0.99710277768859,0.996900523324376,0.997044460138072,0.0957834829863254,0.0632570601774616,0.111161222106574,0.06727400097938,285.049014670514,283.144084553354,284.987059397122,283.148681742511,6.13146620899976,5.97276274876261,6.13535882985824,5.9844562384376,692.579900931321,578.279005952954,728.803757818432,582.052004191197,224.119860008366,228.342106140845,231.363021632973,227.103380843566,254.941860465116,0.00176906604248351,518,583,82.8185328185328,17.1814671814672,"B","4"
"4",4,"4","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D21/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D21",1,5762.30197495711,143.661046322729,417.124933435468,341.938699543743,417.793490220195,341.808675743267,417.387368956157,341.75570436657,0.139137455105983,105.087636585824,0.140380694930209,22.7121633730491,0,0.0650646044943785,0.089523844576058,3.40280399672201,3.66224210101711,1.32247388684206,0.438087460815896,0.36392033582822,2.9891401021417,2.82875544493312,55.429806395049,11.732100200908,0.0335812901432338,7.00743603325773,46.5442729054733,0.0902626610497927,0.0108311299539163,0.273767023471324,0.0797498501001214,0.0792091119866503,0.110581478936188,0.0899629677825075,0.0931112512994262,0.145105282157186,0.0922296962898427,0.02932094674581,0.0113592121654294,0.0939180268913804,417.120922285734,341.676337080318,0,417.387368956157,341.75570436657,0,412.384335123765,339.07619303949,0,168.441879194773,177.623096349144,0.004968328114345,0.0119441190392215,0.0137398253052536,0.0207920249266563,0.045780190676163,0.0285900088948672,0.0186788328768605,0.0253506400345868,0.0159464955867021,0.0234645919651612,0.0338270261523484,0.0566284281642668,0.00140073768895071,0.00166104166296506,0.00140207417489706,0.00169817617846734,67.9986381969799,118.205420083388,78.1488434101453,126.853825361107,0.115537986777166,0.225213678387165,0.18419037650342,0.231174407871996,0.276079093040936,0.303793281585134,0.288410175911959,0.340846938010354,0.000112032369031217,0.000106114512711502,0.000103423800508983,0.000123683105827748,0.448920744838603,0.491665885760654,0.449742904494625,0.496794527815852,0.0567937306513016,0.0655704846349419,0.0582818214581773,0.0658394988283667,0.00347863090559631,0.00314014776690593,0.00332070517152828,0.00374225072244485,0.0276784668440469,0.0261418958283902,0.0248802713509022,0.0315467961039401,44.2215442463674,43.8044696066958,44.2049681496229,43.6728980962714,0.310383519567159,0.34123761648449,0.332746534718838,0.343028531548212,249.67432846063,262.09885054624,310.71938532716,254.930463069028,72.7998374116127,75.0762453472308,81.2689992267364,75.5404228770953,154.912875329708,0.000995812207276428,0,0,0,0,"B","4"
"5",5,"5","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D21/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D21",1,16408.7095862004,342,914,626,895,610,904.366666666667,617.159482758621,1.08692975317839,289,0.432097899845164,144.541405566797,1,0.8,0.920022657467797,19.7855530984525,20.1246117974981,8.06225774829855,3.27822897239014,3,16.6698714867456,17.7234162421513,2.49499555254263,61.5918830920368,0.947976878612717,36.1682704687119,160.856008946896,0.550151333212852,0.0448203682899475,0.16664194302612,0.740397334098816,0.742195963859558,0.649818416904001,0.591510012236416,0.587319254875183,0.566710650920868,0.464164316654205,0.0438096457071932,0.0613682500019728,0.627221077680588,904.465877321843,617.367417197041,0,904.366666666667,617.159482758621,0,906,615,0,292,311,0.04602071,0.16996652,0.3240034,0.4583124,0.866663853911789,0.908427472500239,0.979840478339752,1.07090176324375,0.0231050797537718,0.0305724191707115,0.040163331761869,0.052024403130901,0.00308736985061114,0.0032875,0.0031444722346716,0.00334238881597021,195.633757961783,333.061224489796,197.634328358209,334.884816753927,0.532561587936556,0.208798929847408,0.54782664353395,0.219315079565504,4.72536077170736,5.00958225083625,4.68605273939747,5.01719573130177,0.000207721165807428,0.000160430973953524,0.000222673629468855,0.000158290999783417,8.4592281356134,8.33659874715435,8.44050691454611,8.31598797775144,-0.480121123654309,-0.496761344623856,-0.486479886431272,-0.49703134099214,0.997647954803744,0.998013238051289,0.997771626966876,0.997973775034095,0.0924927893466629,0.0587198571524093,0.108528509012312,0.0613175353605332,296.955357142857,294.979797979798,296.836448598131,294.522167487685,6.1555782376383,5.99501150563447,6.14804813116036,5.99445381972569,675.196538775534,523.128548752822,653.040796551839,520.897495361773,221.774767565923,224.869171597624,223.09492419556,224.059228395065,251.5,0.00158115863141785,518,583,82.8185328185328,17.1814671814672,"B","4"
"6",6,"6","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D21/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D21",1,16632.8334614685,349.070663811563,899.901498929336,625.012847965739,880.93147751606,606.394004282655,890.030541006962,615.192874276513,1.10911737890658,293.398286937902,0.443191688646846,145.119591657841,1,0.792477835479043,0.905065355481078,20.006975925815,20.5119167640536,8.33066715894296,3.28938036012412,2.96503621841109,16.5725049754825,17.7099086853201,1.97008462430679,61.9992799365371,0.943637867546112,35.1557702549137,159.800795001825,0.529660980007761,0.0454058150982193,0.234226712353847,0.736123128034318,0.736433361276059,0.63594441753304,0.578625394000626,0.572491421051148,0.533942614109664,0.448568840545046,0.0527751560393246,0.0618562411943258,0.622988508762971,890.20818375813,615.185665299732,0,890.030541006962,615.192874276513,0,893.295503211991,614.481798715203,0,292,311.822269807281,0.0460699275888651,0.169677663233405,0.324886508415418,0.459068480214133,0.866394531907428,0.909233999987246,0.981430448228438,1.07067236261461,0.0251798633459161,0.0337600367023209,0.0476673062870977,0.0670993263211456,0.00309578387105812,0.00333736196468441,0.00316885426498035,0.00336447644628773,202.600022351757,335.206997625182,194.337174423391,328.982170081978,0.531631355399137,0.226050959644872,0.550032214300629,0.247489460308984,4.72286611932582,4.99284762073272,4.66143136623311,4.97984487140226,0.000212325946454946,0.000164412436261192,0.000231499598887136,0.000167291247840251,8.46368481635247,8.3320034045749,8.43856596398199,8.322368113769,-0.479882864622043,-0.496691110440294,-0.484318442971663,-0.497284142138467,0.997297508240136,0.997617817307527,0.997423025346941,0.99761592714337,0.0933195896163183,0.0607406654837717,0.109396604444955,0.0630781285109268,290.20289509785,288.251040221775,290.137348946283,288.235327372133,6.1570324719448,5.99724144615876,6.16150119648798,6.00628079084585,681.708219719519,551.947227100645,703.361568703061,556.998093515756,223.498645062627,226.961278751548,228.334857425124,225.842262546522,254.212209302326,0.00162722483297203,518,583,82.8185328185328,17.1814671814672,"B","4"
"7",7,"7","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D21/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D21",1,3577.58129889717,84.5082,536.7012,459.606,539.6664,459.606,538.776622290749,460.80189323495,0.0747806313529519,68.1996,0.136597126943691,15.9513229572118,0,0.0544628571428571,0.0649953435169717,2.52966760930186,2.67920705595064,1.15961241578013,0.295956393369162,0.12029642948282,2.46984247796865,1.90422871707937,68.6600954040394,8.69390862408457,0.0212420842122565,5.67394593393803,37.8199613596559,0.0755847399920225,0.0115239581823349,0.166927042237419,0.0682082659006119,0.066783832347393,0.111091827451181,0.0852551614866458,0.0831623880386353,0.160702951562405,0.0943376388072967,0.0279614655860697,0.0111587604924899,0.0880134065687656,538.541195640287,460.702949207633,0,538.776622290749,460.80189323495,0,532.2534,455.1582,0,216.4596,228.3204,0.0046198305258,0.010637699478,0.012216416436,0.01422843807,0.0244531987995284,0.0172607590266698,0.0173884563838161,0.0209116596405296,0.0136339452475925,0.0185715006096676,0.0270476314740174,0.0427262931971053,0.000567923078285583,0.000670962599734882,0.000592967657692519,0.000701615699277753,62.9491837476885,126.880613186813,83.0160796598404,137.611407975498,0.101950431608021,0.205861060285076,0.184648290973833,0.221156319235893,0.193055619364874,0.216375244596915,0.221496381867048,0.221348930949001,4.11385192146808e-05,3.47046510663831e-05,4.80244520510021e-05,3.41883751284971e-05,0.278656860786333,0.312955241759539,0.277294037635404,0.31880766565322,0.0606024782449155,0.0699493428450355,0.0607629752531199,0.0668837300061911,0.0016849796811923,0.0015897587355715,0.00164864878654471,0.00157431083867662,0.0211774433823207,0.0198928220973179,0.0210964137968763,0.0206537185808594,40.0921384259259,40.421934290271,40.5359467289719,40.3849177314895,0.196281942959533,0.218547650583203,0.202914994720313,0.216999006348229,229.831225267941,201.858968361867,239.423604142865,204.307967514728,73.7677006467594,74.0379967854285,78.3804566679042,74.9932965076942,207.564,0.000521430752066714,0,0,0,0,"B","4"
"8",8,"8","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D21/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D21",1,6213.59223300971,144,34,26,22,9,27,16.5306859205776,0.96759631612363,110,0.103596431452144,88.9460024167878,1,0.457777777777778,0.525537541864878,12.461337439665,12.5299640861417,3.60555127546399,1.71659783978603,1.4142135623731,9,9.6238762080914,-89.9711396970498,36.9705627484771,0.715277777777778,10.8364713490009,26.0362122058868,0.236996553838253,0.0118993520736694,0.00690988612332554,0.297518700361252,0.298135221004486,0.252010961604673,0.252778759280455,0.253431379795074,0.199694111943245,0.199694111943245,0.0119857939690964,0.0173362158069383,0.26629938185215,26.7760301504005,16.7173070810649,0,27,16.5306859205776,0,22,20,0,1,1,0.028767144,0.112643406,0.27045825,0.38345954,0.750807109881528,0.812641713236058,0.92519034493354,0.957359273944582,0.00423540648968187,0.00684469254720316,0.00763133124788646,0.010071229819861,0.00116045554627026,0.00115468959226843,0.00110880097911337,0.00104340526099057,21.8131868131868,14.75,19.3417721518987,17.3522727272727,0.00179536571223359,-0.725984170074002,-0.656273355754921,-0.672041724484425,3.14097172746344,2.92828238106548,3.13314249904073,3.11731797395395,0.000134371790322036,0.000100971443517339,0.000137151746681882,0.000109011791879775,6.4752090290999,6.25162916738782,6.36092635062903,6.12905693678402,-0.648076576299098,-0.706304627784116,-0.667785954427124,-0.690557515365209,0.954648166426096,0.964034710867489,0.959141044117176,0.948300336646672,0.0296403209391102,0.00376383416482597,0.0487105880788315,0.00359476063257138,129.081967213115,126.895833333333,129.928571428571,130.085106382979,4.28911495252325,4.29019150346345,4.33361697539723,4.26460607544167,49.2720526226913,47.6349826388941,49.6377551020414,36.9409668077569,17.84723393489,17.046597222221,18.3789456817794,18.0412118511958,1,0.000368449459849477,518,583,82.8185328185328,17.1814671814672,"B","4"
"9",9,"9","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D21/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D21",1,55620.6994061646,1443,1583,1198,1565,1181,1573.16887417219,1187.86324786325,1.90281363430571,1034,0.789448069821444,266.117406401303,1,0.919047619047619,1.0334888458507,36.3588873903386,38.8973006775534,14.8660687473185,5.41060039747649,5,33.9705199609175,34.2758540428671,89.9797337072125,131.225396744416,0.98576512455516,57.4405431747437,406.394796669483,0.638119995594025,0.0731624364852905,1.43030017039812,0.852276265621185,0.852276265621185,0.779063772696715,0.694224001027414,0.696040153503418,0.751885235309601,0.586010575294495,0.11452423523359,0.093523344152484,0.761241286993027,1573.06814929416,1187.64989134651,0,1573.16887417219,1187.86324786325,0,1573,1183,0,583,621,0.065500304,0.19990116,0.37005496,0.5651131,1.1805756509304,1.09439930878579,1.04061676316209,1.12437658082871,0.0921229973475994,0.129208026643753,0.154487156636579,0.228849524443545,0.0128279320987654,0.0140616549486209,0.0135522959183673,0.0151652331371661,410.646666666667,628.571428571429,414.913705583756,665.248175182482,0.881732076878864,0.854239761668164,0.908938468369841,0.880083090483558,5.1823543901955,5.43716832755076,5.16386751280273,5.39972670718322,0.00112872579468484,0.00141395463510848,0.00119709363732295,0.00135403390093471,9.93968282492178,9.93710288449621,9.98641941808668,10.0545812657941,-0.272631808076014,-0.278633338711497,-0.282157760097999,-0.261767506528605,0.999662556667029,0.999794443432052,0.999761206458894,0.999785774084042,0.262584827482172,0.258088907912437,0.247079548867178,0.325321195457712,345.875,344.207792207792,346.055865921788,343.916129032258,6.96030176972197,6.96722123451552,7.01644221773587,6.92522422518576,1758.07948202104,1720.6877002492,1910.52015565519,1562.78961025235,490.556429645043,499.068151477397,524.67504975979,491.122115206761,518,0.00986775751213001,518,583,82.8185328185328,17.1814671814672,"B","4"
"10",10,"10","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D21/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D21",1,49407.1071731549,1299,1549,1172,1543,1172,1546.16887417219,1171.33256194267,0.935217318182085,924,0.685851638369301,177.171403984515,0,0.461269841269841,0.507951303985823,23.8975499506736,26.3673365914118,11.2605174718545,3.69400255769047,3.58578643762691,24.9705199609175,24.6519778347757,179.950873404262,94.254833995939,0.270487346777382,46.6040718257427,380.358584463596,0.401123441755772,0.0612630844116211,1.42339028427479,0.554757565259933,0.554141044616699,0.527052811092042,0.441445241746959,0.442608773708344,0.552191123366356,0.38631646335125,0.102538441264493,0.0761871283455457,0.494941905140877,1546.29211914376,1170.93258426545,0,1546.16887417219,1171.33256194267,0,1551,1163,0,582,620,0.03673316,0.087257754,0.09959671,0.18165356,0.429768541048869,0.281757595549736,0.115426418228548,0.16701730688413,0.0878875908579175,0.12236333409655,0.146855825388693,0.218778294623684,0.0116674765524952,0.0129069653563524,0.012443494939254,0.0141218278761756,388.83347985348,613.821428571429,395.571933431858,647.895902455209,0.879936711166631,1.58022393174216,1.56521182412476,1.55212481496798,2.04138266273206,2.50888594648529,2.030725013762,2.28240873322927,0.0009943540043628,0.00131298319159114,0.00105994189064107,0.00124502210905494,3.46447379582189,3.68547371710838,3.62549306745764,3.92552432901003,0.375444768223084,0.42767128907262,0.385628194329124,0.428790008836604,0.0450143902409325,0.0357597325645629,0.0406201623417178,0.0514854374373694,0.232944506543062,0.254325073747611,0.198368960788347,0.321726434825141,216.793032786885,217.311958874459,216.127294493216,213.831022649279,2.67118681719872,2.67702973105207,2.68282524233864,2.66061814974409,1708.80742939834,1673.05271761031,1860.88240055315,1525.84864344459,472.709195710153,482.021554255176,506.29610407801,473.080903355565,517,0.00949930805228053,0,0,0,0,"B","4"
